standort_name,standort,dealer_vehicle_number,kom_nr,jahreswagenkz,vfw_status,kennzeichen,vin,marke,modell,ez,km,antriebsart,versteuerung_hinweis,listenpreis_netto,empf_vk_preis,modell_netto_preis,upe_brutto,upe_quelle,geldwert_vorteil_monat,eingang,abmeldung,verkauft_am
Deggendorf Opel,1,115072,G,,Kom.Nr. G,,VXKUBYHYJL4293781,Opel,"Corsa Edition 1.5 Diesel, 75",2020-07-23,38800,,1 %,0.00,0.00,0.00,7160.0,"Grund+Zubehör×1,19",71.6,2021-12-20,,2021-12-20
Deggendorf Opel,1,210047,V,,Kom.Nr. V,DEG-KS 862,W0V7H9EB4M4363363,Opel,CROSSL  ELEGA 1.2(96KW)6G S/,2022-04-25,20957,,1 %,0.00,27620.00,0.00,27620.0,empf.VK,276.2,2021-12-20,,2022-08-04
Deggendorf Opel,1,115080,G,L,Kom.Nr. G,REG-MB 500,W0VZJEHZ9KS023794,Opel,GRANDL.X INNO 2.0D(132)AT8 S,2018-12-06,29426,Diesel,1 %,0.00,0.00,0.00,24631.75,"Grund+Zubehör×1,19",246.32,2021-12-29,,2021-12-29
Deggendorf Opel,1,115081,G,L,Kom.Nr. G,DEG-OK 14,W0VECYHZJKJ528265,Opel,COMBO LIFE INNO 1.5D(96)6G S,2018-12-17,127902,,1 %,0.00,0.00,0.00,15757.69,"Grund+Zubehör×1,19",157.58,2021-12-29,,2021-12-29
Deggendorf Opel,1,115082,G,L,Kom.Nr. G,DEG-CB 219,W0VMRS600JB140779,Opel,Movano Kastenwagen 2.3 BiTurbo Diesel 107 kW/145 PS,2017-11-09,117790,Diesel,1 %,0.00,0.00,0.00,16392.79,"Grund+Zubehör×1,19",163.93,2021-12-29,,2021-12-29
Deggendorf Opel,1,210190,V,,Kom.Nr. V,DEG-S 897,VXKUPHNEKM4367672,Opel,CORSA 5T EDI 1.2(74KW)6G SS,2022-03-23,12861,,1 %,0.00,20725.00,0.00,20725.0,empf.VK,207.25,2022-01-10,,2022-05-30
Deggendorf Opel,1,115087,G,L,Kom.Nr. G,DEG-WG 230,W0VJ7D60XJV613381,Opel,VIVARO COMBI 1.6D 92KW SS,2017-12-21,135560,,1 %,0.00,0.00,0.00,16514.07,"Grund+Zubehör×1,19",165.14,2022-01-12,,2022-01-12
Deggendorf Opel,1,115094,G,L,Kom.Nr. G,,,,,,37300,,1 %,0.00,0.00,,8206.47,"Grund+Zubehör×1,19",82.06,2022-01-13,2022-01-11,2022-04-04
Deggendorf Opel,1,115088,G,L,Kom.Nr. G,REG-ML 279,W0V0MAP08K6016828,Opel,ADAM ROCKS 1.4 64KW 5G,2018-11-22,71068,Benzin (allgemein),1 %,0.00,0.00,0.00,9585.69,"Grund+Zubehör×1,19",95.86,2022-01-17,2022-01-10,2022-02-18
Deggendorf Opel,1,115090,G,L,Kom.Nr. G,SR-R 7821,W0V0MAP08K6024093,Opel,ADAM 120 JAHRE 1.4 64KW 5G,2018-12-17,38700,Benzin (allgemein),1 %,0.00,0.00,0.00,8431.19,"Grund+Zubehör×1,19",84.31,2022-01-17,2022-01-17,2022-02-14
Deggendorf Opel,1,115410,G,L,Kom.Nr. G,DEG-GT 901,W0VJC7E83J4366943,Opel,MOKKA X ON 1.4T(103)6G S/S,2018-09-20,51000,Benzin (allgemein),1 %,0.00,0.00,0.00,14408.0,"Grund+Zubehör×1,19",144.08,2022-01-17,,2023-01-20
Deggendorf Opel,1,115097,G,,Kom.Nr. G,ROF-TS 63,W0V0XEP08J6076635,Opel,CORSA CO ED 3T 1.4 (66KW) 5G,2018-09-27,39000,Benzin (allgemein),1 %,0.00,0.00,0.00,8127.63,"Grund+Zubehör×1,19",81.28,2022-01-18,,2022-01-19
Deggendorf Opel,1,115092,G,L,Kom.Nr. G,DEG-CW 269,W0V0XEP68K4069338,Opel,CORSA ACTIVE 5T 1.4T(74KW)6G,2018-11-15,28554,Benzin (allgemein),1 %,0.00,0.00,0.00,10647.04,"Grund+Zubehör×1,19",106.47,2022-01-19,2022-01-17,2022-02-17
Deggendorf Opel,1,115093,G,L,Kom.Nr. G,FRG-AW 644,W0V0MAP08K6024522,Opel,ADAM 120 JAHRE 1.4 64KW 5G,2018-12-17,12300,Benzin (allgemein),1 %,0.00,0.00,0.00,8881.4,"Grund+Zubehör×1,19",88.81,2022-01-19,2022-01-17,2022-03-04
Deggendorf Opel,1,115095,G,L,Kom.Nr. G,FRG-B 777,W0VJ7H608KV619057,Opel,VIVARO COMBI 1.6D 88KW 6G SS,2019-01-03,60000,Diesel,1 %,0.00,0.00,0.00,15813.36,"Grund+Zubehör×1,19",158.13,2022-01-19,,2022-01-19
Deggendorf Opel,1,115096,G,L,Kom.Nr. G,REG-TB 333,VXEVEAHXKLZ024329,Opel,VIVARO KOMBI 2.0CDTI(110)6GS,2020-01-30,7800,Diesel,1 %,0.00,0.00,0.00,23427.41,"Grund+Zubehör×1,19",234.27,2022-01-19,2022-01-20,2022-01-20
Deggendorf Opel,1,115098,G,L,Kom.Nr. G,ST-DL 111,W0VBF6EB7JG122325,Opel,ASTRA 5T DYNAM 1.4(92KW)6G,2018-09-21,24925,Benzin (allgemein),1 %,0.00,0.00,0.00,12036.86,"Grund+Zubehör×1,19",120.37,2022-01-21,2022-01-20,2022-03-15
Deggendorf Opel,1,115099,G,L,Kom.Nr. G,REG-MH 45,W0VJD7E80JB539780,Opel,MOKKA X INNOVAT   B14NET/103,2018-05-22,63909,Benzin (allgemein),1 %,0.00,0.00,0.00,15566.09,"Grund+Zubehör×1,19",155.66,2022-01-21,2022-01-20,2022-02-24
Deggendorf Opel,1,115100,G,L,Kom.Nr. G,REG-ES 303,W0VBF8EB5K8021940,Opel,Astra Sports Tourer Dynamic 1.4 Direct Injection Turbo 92,2018-12-20,80108,Benzin (allgemein),1 %,0.00,0.00,0.00,14033.75,"Grund+Zubehör×1,19",140.34,2022-01-22,2022-01-20,2022-02-14
Deggendorf Opel,1,115101,G,L,Kom.Nr. G,PA-BK 241,W0VZCBHZ9JS006677,Opel,"Grandland X, Edition 1.6 Diesel, 88 kW (120 PS) Start/S",2018-03-26,33500,Diesel,1 %,0.00,0.00,0.00,16739.62,"Grund+Zubehör×1,19",167.4,2022-01-22,2022-01-24,2022-03-04
Deggendorf Opel,1,210043,V,,Kom.Nr. V,DEG-VD 39,W0V7H9EB3M4371132,Opel,CROSSL ELEGA 1.2(96KW)AT6 S/,2022-04-21,21337,,1 %,0.00,29610.01,0.00,29610.01,empf.VK,296.1,2022-01-24,,2022-05-09
Deggendorf Opel,1,115102,G,L,Kom.Nr. G,,W0V0XEP68K4102245,Opel,CORSA ACTIVE 5T 1.4T(74KW)6G,2018-11-27,153633,Benzin (allgemein),1 %,0.00,0.00,0.00,8793.33,"Grund+Zubehör×1,19",87.93,2022-01-25,2022-01-25,2022-03-01
Deggendorf Opel,1,115103,G,L,Kom.Nr. G,REG-L 175,W0VBF6EC5JG072291,Opel,ASTRA 5T ON 1.4(110KW)6G,2018-03-15,38500,Benzin (allgemein),1 %,0.00,0.00,0.00,12923.08,"Grund+Zubehör×1,19",129.23,2022-01-29,2022-01-31,2022-03-01
Deggendorf Opel,1,115104,G,,Kom.Nr. G,DGF-SW 220,W0L0XCF2563038867,Opel,COMBO KASTENW. 1.4 5-GANG,2006-03-21,165500,,1 %,0.00,0.00,11064.96,13167.3,"Modell Netto×1,19",131.67,2022-02-03,2022-02-03,2022-02-03
Deggendorf Opel,1,115105,G,L,Kom.Nr. G,DEG-WR 711,W0V7H9EB9K4103876,Opel,CROSSL X INNOV 1.2(96KW)6G S,2018-12-20,74915,Benzin (allgemein),1 %,0.00,0.00,0.00,13575.59,"Grund+Zubehör×1,19",135.76,2022-02-03,,2022-02-03
Deggendorf Opel,1,115106,G,,Kom.Nr. G,,W0L3F7002GV659167,Opel,Vivaro Kastenwagen 1.6 CDTi 84 kW (115 PS) (MT6),2016-08-02,225500,Diesel,1 %,0.00,0.00,0.00,6499.99,"Grund+Zubehör×1,19",65.0,2022-02-07,2022-02-07,2022-02-07
Deggendorf Opel,1,115107,G,,Kom.Nr. G,DEG-HC 178,W0VZRHNY4JS030396,Opel,GRANDL.X DYNA 1.2T AT6 S/S,2017-12-19,32975,Benzin (allgemein),1 %,0.00,0.00,0.00,19541.2,"Grund+Zubehör×1,19",195.41,2022-02-07,2022-02-07,2022-04-06
Deggendorf Opel,1,115109,G,L,Kom.Nr. G,DEG-V 9151,W0V0MAP08K6036142,Opel,ADAM 120 JAHRE 1.4 64KW 5G,2019-01-28,25000,Benzin (allgemein),1 %,0.00,0.00,0.00,9245.93,"Grund+Zubehör×1,19",92.46,2022-02-10,,2022-02-10
Deggendorf Opel,1,115112,G,L,Kom.Nr. G,DEG-WG 911,W0VF7D607JV619970,Opel,VIVARO KAWA ED 1.6D 92KW SS,2018-02-08,98789,Diesel,1 %,0.00,0.00,0.00,12410.71,"Grund+Zubehör×1,19",124.11,2022-02-17,,2022-02-17
Deggendorf Opel,1,115113,G,L,Kom.Nr. G,DEG-GE 106,W0VZ45GF8KS044327,Opel,GRANDL.X ULTI 1.6T(134)AT8 S,2019-01-24,55846,Benzin (allgemein),1 %,0.00,0.00,0.00,24190.18,"Grund+Zubehör×1,19",241.9,2022-02-17,2022-01-25,2022-07-04
Deggendorf Opel,1,115114,G,L,Kom.Nr. G,DEG-AE 450,W0VMRS608KB170114,Opel,MOVANO KAWA 2.3BT 107KW S/S,2019-01-29,127815,Diesel,1 %,0.00,0.00,0.00,19576.14,"Grund+Zubehör×1,19",195.76,2022-02-21,,2022-02-21
Deggendorf Opel,1,115115,G,L,Kom.Nr. G,DEG-ED 650,W0VF7E609KV604121,Opel,Vivaro Doppelkabine 1.6 BiTur,2018-10-11,63002,,1 %,0.00,0.00,0.00,14300.33,"Grund+Zubehör×1,19",143.0,2022-02-21,,2022-02-21
Deggendorf Opel,1,115117,G,L,Kom.Nr. G,,,,,,74500,,1 %,0.00,0.00,,18319.97,"Grund+Zubehör×1,19",183.2,2022-02-23,,2022-02-23
Deggendorf Opel,1,110176,G,X,Verkauft (Jahreswg.Kz. X),DGF-RK 47,W0V7H9EB3M4011889,Opel,CROSSL  ULTIM 1.2(96KW)AT6 S,2021-05-25,26501,Benzin (allgemein),1 %,0.00,32040.00,0.00,32040.0,empf.VK,320.4,2022-02-24,,2022-03-02
Deggendorf Opel,1,115120,G,L,Kom.Nr. G,EG-K 207,W0V7H9EB4K4106216,Opel,CROSSL X INNOV 1.2(96KW)6G S,2018-12-20,56940,Benzin (allgemein),1 %,0.00,0.00,0.00,11687.38,"Grund+Zubehör×1,19",116.87,2022-03-01,,2022-03-01
Deggendorf Opel,1,115121,G,L,Kom.Nr. G,DEG-TD 900,W0V0XEP68K4241339,Opel,CORSA 120YR 5T B14XEL AT 90P,2019-03-04,24000,Benzin (allgemein),1 %,0.00,0.00,0.00,10778.79,"Grund+Zubehör×1,19",107.79,2022-03-01,2022-02-28,2022-04-01
Deggendorf Opel,1,115123,G,L,Kom.Nr. G,DEG-ED 140,W0VMSL601JB160467,Opel,Movano Fahrgestell Doppelkabi,2018-08-09,68576,,1 %,0.00,0.00,0.00,15711.44,"Grund+Zubehör×1,19",157.11,2022-03-04,,2022-03-04
Deggendorf Opel,1,110390,V,,Kom.Nr. V,DEG-BE 63,VXKUSHNSSNW017012,Opel,MOKKA GS LINE 1.2(96KW)AT8 S,2022-04-25,21365,,1 %,0.00,37105.00,0.00,37105.0,empf.VK,371.05,2022-03-09,,2022-07-04
Deggendorf Opel,1,115128,G,Z,Kom.Nr. G,DEG-LA 180,VXKUPHNEKM4218564,Opel,CORSA 5T EDI 1.2(74KW)6G SS,2021-07-16,28368,Benzin (allgemein),1 %,0.00,0.00,0.00,15946.0,"Grund+Zubehör×1,19",159.46,2022-03-09,,2022-03-29
Deggendorf Opel,1,115129,G,L,Kom.Nr. G,AÖ-EA 912,W0VWT3D91JG065434,Opel,Cascada INNOVATION 1.6 Direct,2018-03-08,43500,,1 %,0.00,0.00,0.00,16452.56,"Grund+Zubehör×1,19",164.53,2022-03-10,2022-03-10,2022-05-03
